elbow_path|The arm path or elbow placement differs from the source and changes the hand contact.|Armverlauf oder Ellenbogenlage weichen von der Quelle ab und verändern den Handkontakt.|Положение рук или локтей отличается от источника и меняет контакт кистей.
overhead_toe_contact|The feet do not reach the specified toe contact on the floor beyond the head.|Die Füße erreichen den vorgegebenen Zehenkontakt am Boden hinter dem Kopf nicht.|Стопы не достигают заданного контакта пальцев с полом за головой.
heels_together_outturn|The model misses touching heels with the feet turned outward.|Dem Modell fehlen sich berührende Fersen bei nach außen gedrehten Füßen.|Модель не воспроизводит касание пяток при развёрнутых наружу стопах.
interlock_missing|The model cannot interlace the fingers; its hands retain fixed finger shapes.|Das Modell kann die Finger nicht verschränken; die Fingerformen bleiben starr.|Модель не может переплести пальцы: их форма остаётся фиксированной.
arm_wrap|The required winding or crossing of the arms is missing or incomplete.|Die erforderliche Verschlingung oder Kreuzung der Arme fehlt oder ist unvollständig.|Требуемое переплетение или перекрещивание рук отсутствует либо неполно.
leg_wrap|The foot and lower leg do not complete the wrap around the supporting leg.|Fuß und Unterschenkel vollenden die Umschlingung des Standbeins nicht.|Стопа и голень не завершают обвивание опорной ноги.
hand_spacing|The hands are too far apart for the narrow spacing specified in the source.|Die Hände stehen für den in der Quelle verlangten engen Abstand zu weit auseinander.|Кисти расположены слишком широко для узкого расстояния, заданного источником.
arm_thread|The arm route through the folded legs needs correction; proximity alone does not establish the required threading.|Der Armverlauf durch die gefalteten Beine muss korrigiert werden; Nähe allein bildet das Durchführen nicht ab.|Путь рук между согнутыми ногами требует исправления; одной близости недостаточно для нужного прохождения.
floor_contact|The required hand, arm or elbow contact with the floor is missing or approximate.|Der erforderliche Bodenkontakt von Hand, Arm oder Ellenbogen fehlt oder ist ungenau.|Требуемый контакт кисти, руки или локтя с полом отсутствует либо приблизителен.
source_unclear|The source does not resolve every contact or hidden surface; exact agreement cannot be certified.|Die Quelle zeigt nicht jeden Kontakt oder jede verdeckte Fläche; genaue Übereinstimmung ist nicht bestätigbar.|Источник не раскрывает все контакты и скрытые поверхности; точное соответствие подтвердить нельзя.
support_surface|The broad support arrangement is recognizable, but palm and finger loading remain schematic.|Die allgemeine Stützanordnung ist erkennbar, Handflächen- und Fingerbelastung bleiben schematisch.|Общая схема опоры узнаваема, но нагрузка на ладони и пальцы остаётся схематичной.
toe_extension|The fixed toes do not reproduce the source's lengthened toe shape precisely.|Die starren Zehen bilden die verlängerte Zehenform der Quelle nicht genau nach.|Фиксированные пальцы ног не воспроизводят точно их вытянутую форму в источнике.
abdomen_hands|The hands belong at or beneath the abdomen, not in their current modeled position.|Die Hände gehören an oder unter den Bauch, nicht an die aktuelle Modellposition.|Кисти должны находиться у живота или под ним, а не в текущем положении модели.
ankle_grip_missing|The fingers do not surround and hold the ankle or lower leg as required.|Die Finger umfassen und halten Knöchel oder Unterschenkel nicht wie erforderlich.|Пальцы не охватывают и не удерживают лодыжку или голень, как требуется.
foot_spacing|The feet's spacing or alignment needs adjustment to the selected source.|Abstand oder Ausrichtung der Füße müssen der ausgewählten Quelle angepasst werden.|Расстояние или взаимное положение стоп требует уточнения по выбранному источнику.
hand_under_shoulders|The palms are displaced from the support position beneath the shoulders.|Die Handflächen sind gegenüber der Stützposition unter den Schultern versetzt.|Ладони смещены относительно опоры под плечами.
schematic|No additional clear contact mismatch was resolved at this review scale; fine geometry remains unverified.|In diesem Prüfmaßstab war kein weiterer eindeutiger Kontaktfehler erkennbar; die Feingeometrie bleibt ungeprüft.|В масштабе этой проверки дополнительных явных ошибок контакта не выявлено; точная геометрия не подтверждена.
shin_grip_missing|The hands do not wrap around and embrace the shin as shown.|Die Hände umfassen das Schienbein nicht wie gezeigt.|Кисти не охватывают голень, как показано.
raised_leg_contact|The model's foot or leg support differs from the source's raised-versus-grounded arrangement.|Die Fuß- oder Beinstütze des Modells weicht von der angehobenen beziehungsweise aufliegenden Stellung der Quelle ab.|Опора стопы или ноги модели отличается от поднятого либо опущенного положения в источнике.
thigh_hand_surface|The hands do not follow the thigh surface and finger direction shown.|Die Hände folgen Oberschenkelfläche und gezeigter Fingerrichtung nicht.|Кисти не следуют поверхности бедра и показанному направлению пальцев.
behind_head|The foot remains beside the head or in front instead of crossing behind the neck to the required shoulder.|Der Fuß bleibt neben oder vor dem Kopf, statt hinter dem Nacken zur erforderlichen Schulter zu führen.|Стопа остаётся сбоку от головы или впереди вместо прохождения за шеей к нужному плечу.
foot_touch|The lowered hand misses the required contact on the foot.|Die abgesenkte Hand verfehlt den erforderlichen Kontakt am Fuß.|Опущенная кисть не достигает требуемого контакта со стопой.
cross_grip|The crossing or side assignment of the hands needs correction to the source text and picture.|Kreuzung oder Seitenzuordnung der Hände müssen an Quellentext und Bild angepasst werden.|Перекрещивание или распределение кистей по сторонам требует исправления по тексту и снимку.
prayer_contact|The joined palms are approximate; individual fingers and full palm contact are not articulated.|Die verbundenen Handflächen sind angenähert; einzelne Finger und vollständiger Handflächenkontakt sind nicht artikuliert.|Соединение ладоней приблизительно; отдельные пальцы и полный контакт ладоней не артикулируются.
lotus_front|The model folds the feet behind the body instead of into lotus in front of the pelvis.|Das Modell faltet die Füße hinter den Körper statt in den Lotus vor dem Becken.|Модель складывает стопы за телом вместо лотоса перед тазом.
waist_contact|The hands do not cup the waist with the finger direction shown.|Die Hände umfassen die Taille nicht mit der gezeigten Fingerrichtung.|Кисти не охватывают талию с показанным направлением пальцев.
cheek_contact|The palm and fingers do not cup the cheek in the required contact.|Handfläche und Finger umfassen die Wange nicht mit dem erforderlichen Kontakt.|Ладонь и пальцы не поддерживают щёку с требуемым контактом.
feet_outward|The feet need the outward rotation shown in the source.|Den Füßen fehlt die in der Quelle gezeigte Außendrehung.|Стопам требуется разворот наружу, показанный в источнике.
hand_outside_legs|The hands and arms need placement outside the folded legs, distinct from threading through them.|Hände und Arme müssen außerhalb der gefalteten Beine liegen; dies unterscheidet sich vom Durchführen zwischen ihnen.|Кисти и руки должны находиться снаружи сложенных ног, что отличается от прохождения между ними.
armpit_foot|The folded foot does not reach the required armpit contact.|Der gefaltete Fuß erreicht den erforderlichen Achselkontakt nicht.|Согнутая стопа не достигает требуемого контакта с подмышкой.
back_support|The palms do not support the back of the waist as required; their modeled contact is displaced.|Die Handflächen stützen die Taille nicht wie erforderlich von hinten; ihr Modellkontakt ist versetzt.|Ладони не поддерживают талию сзади, как требуется; контакт модели смещён.
foot_angle|The ankle or foot direction differs from the selected photograph.|Knöchel- oder Fußrichtung weichen vom ausgewählten Foto ab.|Направление лодыжки или стопы отличается от выбранной фотографии.
abdomen_feet|The feet are too low or horizontal instead of upright against the abdomen.|Die Füße liegen zu tief oder waagerecht statt aufrecht am Bauch.|Стопы слишком низкие или горизонтальные вместо вертикального положения у живота.
waist_wrap|The rear arm and hand do not wrap around the waist toward the navel.|Hinterer Arm und Hand führen nicht um die Taille zum Nabel.|Задняя рука и кисть не обхватывают талию по направлению к пупку.
finger_support|The source's arched hand or fingertip support is replaced by rigid flat hands.|Gewölbter Hand- oder Fingerspitzenstütz der Quelle wird durch starre flache Hände ersetzt.|Сводчатая кисть или опора на кончики пальцев из источника заменены жёсткими плоскими кистями.
backbend_direction|Major mismatch: the model folds forward, while the book describes a backward bend with ankle holds.|Deutliche Abweichung: Das Modell beugt sich vor, das Buch beschreibt eine Rückbeuge mit Knöchelgriffen.|Существенное расхождение: модель наклоняется вперёд, книга описывает прогиб назад с захватом лодыжек.
thumb_floor|The model misses the explicit thumb-down, other-fingers-up hand position.|Das Modell verfehlt die ausdrücklich beschriebene Handstellung: Daumen unten, übrige Finger oben.|Модель не воспроизводит явно указанное положение: большой палец кисти внизу, остальные вверху.
chin_feet|The feet do not reach the position at the chin specified by the source.|Die Füße erreichen die in der Quelle angegebene Stellung am Kinn nicht.|Стопы не достигают положения у подбородка, заданного источником.
above_head_soles|The soles do not meet above the head as in the selected plate.|Die Fußsohlen treffen sich nicht wie im ausgewählten Bild über dem Kopf.|Подошвы не соединяются над головой, как на выбранном снимке.
palms_outward|The model joins the hands instead of keeping separate, outward-facing palms.|Das Modell verbindet die Hände statt getrennter, nach außen gerichteter Handflächen.|Модель соединяет кисти вместо раздельных ладоней, обращённых наружу.
neck_clasp|The hands do not form the specified clasp at or behind the neck.|Die Hände bilden den vorgegebenen Griff am oder hinter dem Nacken nicht.|Кисти не образуют заданное сцепление у шеи или за ней.
foot_grip_missing|The hands touch or miss the feet without forming the required surrounding grip.|Die Hände berühren oder verfehlen die Füße, ohne den erforderlichen umfassenden Griff zu bilden.|Кисти касаются стоп или не достигают их, не образуя требуемого охватывающего захвата.
hand_beside_feet|The hands are too far forward instead of beside the feet as illustrated.|Die Hände stehen zu weit vorn statt wie abgebildet neben den Füßen.|Кисти слишком далеко впереди вместо положения рядом со стопами на снимке.
shin_hand_surface|The palms and fingers do not rest along the lower-leg surface as shown.|Handflächen und Finger liegen nicht wie gezeigt entlang der Unterschenkelfläche.|Ладони и пальцы не лежат вдоль поверхности голени, как показано.
head_cradle|The hands do not form the interlaced cradle behind the head.|Die Hände bilden die verschränkte Stütze hinter dem Kopf nicht.|Кисти не образуют опору с переплетёнными пальцами за головой.
heel_forward|The foot rotation does not reproduce heels directed forward.|Die Fußdrehung bildet nach vorn gerichtete Fersen nicht nach.|Разворот стоп не воспроизводит направление пяток вперёд.
elbow_grip_missing|The hands meet each other instead of grasping the opposite elbows.|Die Hände treffen einander, statt die gegenüberliegenden Ellenbogen zu greifen.|Кисти соединяются друг с другом вместо захвата противоположных локтей.
lotus_missing|The model lacks the lotus foot-on-opposite-thigh arrangement required here.|Dem Modell fehlt die hier erforderliche Lotusstellung mit Füßen auf den gegenüberliegenden Oberschenkeln.|В модели отсутствует требуемый здесь лотос со стопами на противоположных бёдрах.
nose_toe_contact|The big toe does not complete the source's contact toward the nose.|Der große Zeh vollendet den in der Quelle gezeigten Kontakt zur Nase nicht.|Большой палец ноги не достигает контакта с носом, показанного в источнике.
wrist_grip_missing|The hand does not close around the opposite wrist as specified.|Die Hand schließt sich nicht wie vorgegeben um das gegenüberliegende Handgelenk.|Кисть не охватывает противоположное запястье, как указано.
head_feet|The feet remain too high or insufficiently curved toward the head.|Die Füße bleiben zu hoch oder sind nicht ausreichend zum Kopf gebogen.|Стопы остаются слишком высоко или недостаточно заведены к голове.
head_fist|The head needs the source's closed-fist support, not the current open hand.|Der Kopf benötigt den Fauststütz der Quelle statt der aktuellen offenen Hand.|Для головы нужна опора на кулак из источника вместо текущей открытой кисти.
hand_foot_gap|A visible gap remains between the reaching hand and the raised ankle or foot.|Zwischen greifender Hand und angehobenem Knöchel oder Fuß bleibt ein sichtbarer Abstand.|Между тянущейся кистью и поднятой лодыжкой или стопой остаётся видимый зазор.
gesture_detail|The wrist gesture is only approximate and its individual finger shapes are missing.|Die Handgelenksgeste ist nur angenähert, ihre einzelnen Fingerformen fehlen.|Жест запястья лишь приблизителен, отдельные формы пальцев отсутствуют.
